PageNumber,Year,Title_TR,Title_EN,Abstract_TR,Abstract_EN,Keywords_TR,Keywords_EN
14,2021-2022,3D Printer Teknolojisi ile Havacılık Sektörüne Yönelik Chaff - Flare Magazine Geliştirilmesi,Development of Chaff - Flare Magazine for the Aviation Industry with 3D Printer Technology,"Bu çalışmada, termoplastik kompozit malzemeleri imal etmek için iki tip polimer filament (Akrilonitril Bütadien Stiren ve Polilaktik asit) ve altıgen boron nitrür (h-BN) (ağırlık yüzdeleri %0,1 - 0,2 ve 0,3 idi) kullanılmıştır. Termoplastik kompozitler 3D baskı yöntemi kullanılarak üretilmiştir. Uçaklarda bulunan pilotun ve uçakların güvenliği için hayati öneme sahiptir. Uçaklarda yanıltıcı fişeklerin pilot tarafından ateşlenmesi komutu verildiğinde chaff magazinlerinden hareket başlar. Yapılan çalışmada Chaff magazin tasarımın netleşmesi ile termoplastik polimer çeşidi olan poli laktik asit (PLA) ve akrilonitril bütadien stiren (ABS) filamentinin geliştirilmesi için filamentlerin yüzeyine hegzagonal bor nitrür/ grafen nano plakalar eklenmesi ve kaplanması yapılmıştır. Kaplanmış filamentlerden üretilen test numunelerine çekme, eğme ve ısıl dayanım testleri yapılarak hangi oranda kaplamanın en ideal sonuç verdiği tespit edilecektir. Bu sayede istenilen ısıl, mekanik özelliklere sahip filamente sahip olunacak ve ardından 3D yazıcı ile chaff magazin prototip üretimi yapılacaktır. Projede ticari olarak satılan içerisinde mikron büyüklükte karbon elyaf ve Naylon 6 polimeri bulunan diğer bir filament çeşidi ile de chaff magazin protototipi üretilecektir. Bu süreç ise nihai ürün elde edilene kadar devam edecektir.","In this study, two types of thermoplastic composite materials to fabricate a polymer filament (Acrylonitrile Butadiene Styrene and polylactic acid) and hexagonal boron nitride (h-BN) (weight percentages %0,1 - 0,2 0,3 and were) were used. Thermoplastic composites are manufactured using the 3D printing method. It is vital for the safety of the pilot and the aircraft on board the aircraft. When the pilot gives the command to fire misleading flares on airplanes, the movement from the chaff magazines begins. In the study the varieties of thermoplastic polymer magazine design with clearing Chaff poly lactic acid (PLA) and Acrylonitrile Butadiene Styrene (ABS) filaments to the surface of the filaments hegzagonal for the development of boron nitride/ graphene nano coating is added to the plates. Tensile, bending and thermal strength tests will be performed on the test samples produced from coated filaments to determine which ratio of coating gives the most ideal result. In this way, the desired thermal and mechanical properties of the filament will be obtained and then the 3D printer and chaff magazine prototype production will be made. In the project, a prototype of chaff magazine will be produced with another type of filament with a micron-sized carbon fiber and Nylon 6 polymer sold commercially. This process will continue until the final product is obtained.","3D baskı, hegzagonal bor nitrür, PLA, ABS, mekanik ve ısıl test","3D printing, hexagonal boron nitride, PLA, ABS, mechanical and thermal testing"
18,2021-2022,A350 Montaj Hattının Çizelgelenmesi,A350 Assembly Line Scheduling,"Bu çalışmada, TUSAŞ ‘ın A350 montaj hattı için oluşturulan yönergeler ve kısıtlar göz önüne alınarak eniyileme yöntemleri ile yeniden çizelgelenmesi çalışması yapılmıştır. Bu montaj hattında gerçekleşen operasyonların işlenmesini optimum düzeye çekecek bir algoritma tasarlanmaya çalışılmıştır. Projede belirlenen hedef çıktılar için kısıtlar ve operasyon öncelikleri baz alınarak bir algoritma oluşturulmuştur. Algoritma Python yazım dili ile oluşturulmuş ve bu algoritmanın çözümlenmesine çalışılmıştır. Elde edilen veriler ile bir algoritma kodu yazılmıştır ancak bu algoritma tamamlanamamış olup, proje tam anlamıyla bitirilememiştir.","In this study, rescheduling of TUSAŞ with optimization methods has been carried out, taking into account the guidelines and constraints created for the A350 assembly line. An algorithm has been tried to be designed that will optimize the processing of the operations performed on this assembly line. An algorithm was created based on the constraints and operational priorities for the target outputs determined in the project. The algorithm was created with the python script over the pycharm application and this algorithm was tried to be analyzed. Algorithm code was written with the obtained data, but this algorithm could not be completed and the project could not be fully completed.","montaj hattı çizelgeleme, genetik algoritma, meta-sezgisel yaklaşım","assembly line secheduling, genetic algorithm, metaheuristic methods."
22,2021-2022,Açık Kaynak Yazılımlar Yardımıyla Izgara Yöntemi Kullanılarak Harici Yük Ayrılma Analiz Alt Yapısının Oluşturulması,Creating Store Separation Analysis Infrastructure Using Grid Method with the Help of Open Source Software,"Bu çalışmada, EGLIN test geometrisi için ızgara metodu kullanılarak Python ortamında 6 Serbestlik Dereceli (DoF) çözücü geliştirilecektir. Yörünge hesaplamaları için gereken aerodinamik katsayılar, açık kaynaklı Hesaplamalı akışkanlar dinamiği (HAD) yazılımı SU2 ile elde edilecektir. HAD analizlerinin çözüm maliyetlerini azaltmak için Deney tasarımı (DoE) yöntemleri kullanılarak analiz sayısının azaltılması hedeflenmektedir. Tasarım noktaları, boşluk doldurma yöntemlerinden biri olan Latin Hiperküp (ULH) kullanılarak belirlenecektir. ULH ile belirlenen tüm noktalar için meshleme işlemeleri gerçekleştirilerek belirlenen noktalar için sistem SU2 ile yapılacak olan HAD analizleri için hazır hale getirilecektir. Daha sonra tasarım uzayını daha detaylı incelemek için Python ortamında belirlenecek bir Tepki Yüzey Modeli (TYM) yardımıyla tüm tasarım uzayındaki aerodinamik katsayılar elde edilecek ve bu katsayılar yardımı ile mühimmat yörüngesi belirlenecektir. Son olarak 6DoF kodu ve EGLIN test sonuçları karşılaştırılacaktır. Çalışma sonucunda tüm bu yöntemlerden faydalanılarak farklı uçuş koşulları için hızlı bir şekilde hesaplama yapacak harici mühimmat ayrılma analiz altyapısı oluşturulması hedeflenmektedir.","In this study, 6 Degrees of Freedom (DoF) solver will be developed in Python environment by using the grid method for EGLIN test geometry. The aerodynamic coefficients required for the path calculations will be obtained with the open source Computational fluid dynamics (CFD) software SU2. In order to reduce the solution costs of CFD analysis, it is aimed to reduce the number of analyzes by using design of experiment (DoE) methods. Design points will be determined using the Latin Hypercube (ULH), one of the space-filling methods. Meshing processes will be performed for all points determined by ULH, and the system will be prepared for CFD analyzes to be made with SU2 for the determined points. Then, in order to examine the design space in more detail, aerodynamic coefficients in the entire design space will be obtained with the help of a Response Surface Model (RSM) to be determined in the Python environment and the store trajectory will be determined with the help of these coefficients. Finally, the 6DoF code and EGLIN test results will be compared. As a result of the study, it is aimed to create an external store separation analysis infrastructure that will make quick calculations for different flight conditions by making use of all these methods.",ızgara metodu; mühimmat ayrılması; deney tasarımı; hesaplamalı akışkanlar dinamiği; latin hiperküp.,grid method; store separation; design of experiment; computational fluid dynamics; latin hypercube.
28,2021-2022,Adjoint Metodu ile Pervane Kanadı Optimizasyonu,Propeller Blade Optimization with Adjoint Method,"Bu çalışmada, bir pervane kanadının şekil optimizasyonu yapılmıştır. Amaç fonksiyonlar sürükleme kuvvetinin azaltılması ve taşıma kuvvetinin arttırılması olarak tanımlanmıştır. Kısıtlayıcı ve ceza fonksiyonu olarak sabit taşıma kuvveti katsayısı, simetri, hacim ve kalınlık olarak belirlenmiştir. Adjoint metodu ile optimizasyon için ise açık kaynak kodlu OpenFOAM programı kullanılmıştır. Yüzey deformasyonları, FFD kutusu ile yapılmıştır. FFD kutusu içerisine daha iyi çözümler elde edilebilmesi için yapısal olmayan ağ atılması hedeflenmektedir. Çalışmada öncelikle bazı iki boyutlu kanat profilleri için analizler gerçekleştirilmiş ve sonuçlar elde edilmiştir. Sonuçlar incelenmiş ve üç boyutlu optimizasyona temel model olarak kullanılmıştır. Son çalışmada ise üç boyutlu bir pervane kanadı optimizasyonu ele alınmıştır. Optimizasyon süreci, diğer çalışmalara benzer şekilde işletilmiştir. Pervane geometrisi üzerinde kayda değer bir deformasyon sonucunda optimum şekil elde edilmiştir. Yapılan analiz neticesinde başarılı bir optimizasyon gerçekleştirilmiştir. Sonuç olarak, optimizasyon aracı amaç fonksiyonunun istenen taşıma ve sürükleme kuvvetleri oranının kazanımıyla gerçekleştirilmiştir.","In this study, shape optimization of a propeller blade has been made. The objective functions are defined as reducing the drag force and increasing the lift force. As the constraint and penalty function, the constant bearing force coefficient was determined as symmetry, volume and thickness. The open source code OpenFOAM program was used for optimization with the Adjoint method. Surface deformations were made with the FFD box. It is aimed to throw an unstructured mesh into the FFD box so that better solutions can be obtained. In the study, first of all, analyzes were carried out for some two- dimensional wing profiles and the results were obtained. The results were analyzed and used as a basic model for three- dimensional optimization. In the last study, a three-dimensional propeller blade optimization is discussed. The optimization process was operated similarly to other studies. The optimum shape was obtained as a result of a significant deformation on the propeller geometry. As a result of the analysis, a successful optimization was carried out. As a result, the optimization tool is realized by gaining the desired ratio of lift and drag forces of the objective function.",adjoint metodu; amaç fonksiyonu; deformasyon; ffd kutusu; openfoam; pervane; şekil optimizasyonu.,adjoint method; objective function; deformation; ffd box; openfoam; blade; shape optimization.
34,2021-2022,Havacılıkta Kullanılan Yakıt Ölçüm Prob'ları Araştırması ve Geliştirmesi,R&D for Fuel Measurement Probes That Use in Aircrafts,"Uçaklar, savunmada çok önemli makinelerdir. Bu araştırmamızda savunma ve otomotiv sanayinde yaygın olarak kullanılan akaryakıt probeleri ile ilgili bazı makale ve kitapları incelemeye çalışacağız. Ayrıca, bir uçak için benzersiz bir tane oluşturmak için aktif kapasitif yakıt problarının fonksiyonlarını ve çalışma prensibini anlamaya çalıştık. Hocamız Prof. Dr. Ahmet PINARBAŞI'na teşekkür ederiz.","Aircrafts are very important vehicles in the defence of the country. In this research, we will deal with to search some articles and books for fuel probes that are using in the defence and automotive industry widely. Also, we tried to understand functions and working principle of the active capacitive fuel probes to build unique one for the aircraft. Thanks to our teacher Prof. Dr. Ahmet PINARBAŞI.","Probe, ölçüm, yakıt, tank","Probe, measurement, fuel, tank"
44,2021-2022,AA 7075 Alüminyum Alaşımının Elektrolitik Parlatmasında Yüzey Pürüzlülüğünün Optimizasyonu,Optimization Of Surface Roughness In Electrolytic Polishing Of AA 7075 Aluminum Alloy,"Savunma ve uzay sanayii gibi önemli alanlarda hafifliği ve mekanik özellikleri bakımından sıklıkla kullanılan AA 7075-T73 alaşımının, elektrolitik parlatma işlemlerinin iyileştirilmesi hedef alınmıştır. Bu doğrultuda AA 7075-T73 alaşımının elektrolitik parlatılmasında süreç optimizasyon çalışmaları gerçekleştirilmiştir. Elektrolitik parlatma, metal bir parçadan ince bir malzeme tabakasını çıkaran elektrokimyasal bir bitirme işlemidir. İşlem parlak, pürüzsüz ve ultra temiz bir son yüzey bırakır. Bu işlem, son derece küçük, sıkı bir şekilde kontrol edilen metal miktarlarını çözebilir ve bu da mikron kalınlığında yüzeyden tabaka kaldırmaya neden olur. Bu çalışmada AA 7075-T73 alaşımının elekrolitik parlatılmasında gerilme (volt) ve parlatma süresi değiştirilerek en iyi yüzey pürüzlülüğünü sağlayan optimum parametreler belirlenmiştir. En iyi yüzey pürüzlülüğü değerlendirmesi, optik mikroskop kullanılarak gerçekleştirilmiştir. Elektrolitik parlatmada en iyi yüzey pürüzlülüğü değeri 1cm2 yüzey alanında 60 volt gerilimde 20 sn parlatılan numunede elde edilmiştir.","It is aimed to improve the electrolytic polishing process parameters of AA 7075-T73 alloy, which is frequently used in important fields such as defense and space industry in terms of its lightness and mechanical properties. In this direction, process optimization studies were carried out in the electrolytic polishing of AA 7075-T73 alloy. Electrolytic polishing is an electrochemical finishing process that removes a thin layer of material from a metal part. The process leaves a glossy, smooth and ultra-clean finish. This process can dissolve extremely small, tightly controlled amounts of metal, resulting in micron-thick delamination. In this study, the optimum parameters that provide the best surface roughness were determined by changing the voltage (volt) and polishing time in electrolytic polishing of AA 7075-T73 alloy. The best surface roughness assessment was performed using an optical microscope. In electrolytic polishing, the best surface roughness value was obtained in the sample polished at 60 volts for 20 s on a surface area of 1 cm2.","Elektrolitik Parlatma, AA 7075 Alaşımı, Yüzey Pürüzlülüğü, Mikroyapı.","Electrolytic Polishing, AA 7075 Alloy, Surface Roughness, Microstructure."
48,2021-2022,AA 2024 Alüminyum Alaşımının Metalografik Muayenesi Kapsamında Elektroparlatma ve Elektrodağlama Parametrelerinin Optimizasyonu,Optimization of Electropolishing and Electroetching Parameters for Metallographic Examination of AA 2024,"Bu çalışma TUSAŞ Özel Proses Teknolojileri birimindeki metalografik muayene işlemlerini hızlandırılmasını amaçlamıştır. Projenin çıkış noktası ise belirli dönemlerde çok yoğunlaşan numune iç yapı incelemelerinden kaynaklı mekanik metalografik numune hazırlama işleminin getirdiği zaman ve iş gücü kaybının önüne geçmektir. Bu kapsam doğrultusunda Struers firmasının üretmiş olduğu Lectropol-5 elektro parlatma ve elektro dağlama cihazı ile numune hazırlama sürelerinin çok daha kısa sürelere indirgenmesi sağlanmıştır. Bu cihaz bir elektrolit sıvısı içine yerleştirilmiş alüminyum kuponları elektrik akımı ile parlatması ve dağlaması prensibine dayanarak çalışmaktadır. Diğer taraftan havacılıkta sık kullanılan bir alüminyum alaşım olan 2024 için Struers Lectropol-5 cihazında bu alaşıma özel “Süre, Voltaj ve Akış Hızı” parametrelerinin optimize edilmesi amaçlanmıştır. Çalışmada 2024 için elde edilen veriler optimum değere getirilmiş ve optik mikroskop görüntüleri ile literatür görüntüleri karşılaştırılarak elde edilen verilen doğruluğu sağlanmıştır. Çalışma sonunda 2024 için optimum veriler Özel Proses Teknolojileri mühendisleri ile paylaşılmış ve TUSAŞ tesislerinde testler tekrarlanarak doğrulanmıştır.","This study aimed to accelerate the metallographic examination processes in TUSAŞ Special Process Technology unit. The starting point of the project is to prevent the loss of time and labor caused by the mechanical metallographic sample preparation process, which is very concentrated in certain periods. In line with this scope, the Lectropol-5 electropolishing and electroetching device produced by the Struers firm reduced sample preparation times to much shorter times. This device works on the principle of polishing and etching aluminum coupons placed in an electrolyte liquid with electric current. On the other hand, for 2024, which is an aluminum alloy frequently used in aviation, it is aimed to optimize the ""Time, Voltage and Flow Rate"" parameters specific to this alloy in the Struers Lectropol-5 device. In the study, the data obtained for 2024 was optimized and the accuracy of the data obtained was ensured by comparing the optical microscope images with the literature images. At the end of the study, the optimum data for 2024 was shared with Special Process Technology engineers and the tests were repeated and verified at TUSAŞ facilities.","elektro parlatma, elektro dağlama, 2024 alüminyum alaşımı, metalografik muayene","electropolishing, electroetching, aluminum alloy"
54,2021-2022,TUSAŞ A400M Kargo Tipi Uçak Projesi Montaj Hattında Çizelgeleme,Scheduling of The TUSAŞ A400M Cargo Aircraft Project on An Assembly Line,"Bu çalışmada, TUSAŞ’ta ana imalat ve montaj binasında A400M projesi kapsamında kargo tipi uçak üretiminde yer alan bir montaj hattının çizelgelenmesi problemi ele alınmıştır. Firmada üretimi yapılan kargo tipi uçak projesinde çalışma yürütülmüştür. “A400M Kargo Tipi Uçak Projesi Montaj Hattında Çizelgeleme ” projesi doğrultusunda mevcut durumun analizi yapılmış ve uygun teknikler kullanılarak problem tanımı yapılmıştır. Problemin tanımı yapılırken sistemde bu problemin neden oluştuğu ve ana nedenlerinin neler olduğu gibi sorular yöneltilerek kök nedenlerin analizi gerçekleştirilmiştir. Firma ile ortak yürütülen çalışmalar doğrultusunda, firmada bulunan mevcut çizelgelerin uygulandığında teslim tarihlerinde gecikmeler yaşandığı gözlemlenmiştir. Bu çalışmada teslim tarihlerindeki gecikmelerin minimuma indirgenmesi ve sisteme sonradan dahil edilecek parçalarla çizelgenin güncellenmesi üzerine literatür araştırması gerçekleştirilmiş ve bu konular üzerine yapılan çalışmalar incelenmiştir. Simülasyon problemi için farklı senaryolar ile alınan sonuçlar değerlendirilerek maliyet ve kaynak kullanımı açısından en iyi sonucu veren model belirlenmiştir.","In this study, the scheduling problem of an assembly line involved in the production of cargo aircraft within the scope of the A400M project in the main manufacturing and assembly building of TAI is discussed. Work was carried out on the cargo type aircraft project produced by the company. In line with the “A400M Cargo Type Aircraft Project Scheduling on the Assembly Line” project, the current situation has been analyzed and the problem has been defined using appropriate techniques. While defining the problem, the root causes were analyzed by asking questions such as why this problem occurred in the system and what the main reasons were. In line with the studies carried out jointly with the company, it has been observed that there are delays in the delivery dates when the existing charts in the company are applied. In this study, a literature search was carried out on minimizing the delays in the delivery dates and updating the schedule with the parts to be included in the system later, and the studies on these issues were examined. For the simulation problem, the results obtained with different scenarios were evaluated and the model that gave the best result in terms of cost and resource usage was determined.","montaj hattı çizelgeleme , senaryo simülasyonu","Assembly line scheduling, scenario simulation"
58,2021-2022,Esnek Akış Tipi Çizelgeleme,Flexible Flow Shop Scheduling,"Esnek akış tipi üretim sistemleri; akış tipi üretim sistemlerinin en az bir aşamasında paralel makine/istasyon içermesi şeklinde akış tipi üretim sistemlerinin özelleştirilmiş bir halidir. Bu çalışmada ele alınan sistem esnek akış tipi sisteme bir örnektir. Dolayısıyla esnek akış tipi sistemler için çizelgeleme çalışması yapılarak istenen performans çıktısının elde edilmesi hedeflenmektedir. Bu hedef; birincil olarak ağırlıklı gecikme zamanının en küçüklenmesi, ikincil olarak makine kullanım oranındaki sapmanın en küçüklenmesi ve üçüncül olarak ağırlıklı erken tamamlanma toplamlarının en küçüklenmesidir. Bu sayede, alınan siparişler, optimum sürede, optimum düzeyde kaynak kullanımıyla üretim hattından çıkacaktır. Bu sayede verimlilik sağlanacak ve müşteri memnuniyeti en üst düzeye çıkarılacaktır. Çizelgeleme problemleri kombinatoryal eniyileme problemleri olduğundan dolayı literatürde NP-Zor problemler olarak geçmektedirler. Bu tip sistemlerde iş sayısı ve operasyon sayısı arttıkça da çözmek karmaşıklaşmaktadır. Bu noktada kesin çözüm veren optimal yöntemler yerine metasezgiseller kullanılmaktadır. Bu çalışmada ele alınan problem bir meta- sezgisel olan Tavlama Benzetimi ile ele alınan amaç fonksiyonu değerini minimize edecek şekilde çözülmüştür. Çalışmada C# programlama dili ile problem kodlanmıştır. Son olarak firmanın mevcut durumda kullandığı çizelge, geliştirilen yöntem sonucunda elde edilen çıktıyla karşılaştırılmıştır.","Flexible flow shop production systems; It is a customized version of flow-shop production systems in that flow- shop production systems include a parallel machine/station in at least one stage. The system discussed in this study is an example of a flexible flow shop system. Therefore, it is aimed to obtain the desired performance output by scheduling for flexible flow shop systems. This target; primary minimization of weighted lateness time, secondarily minimization of deviation in machine utilization rate, and thirdly minimization of weighted earliness completion time sums. In this way, the orders received will come out of the production line in the optimum time, with the optimum use of resources. In this way, efficiency will be ensured and customer satisfaction will be maximized. Because scheduling problems are combinatorial optimization problems, they are referred to as NP-Hard problems in the literature. In this type of systems, as the number of jobs and operations increase, solving becomes more complex. At this point, metaheuristics are used instead of optimal methods that give exact solutions. The problem dealt with in this study is solved with the Annealing Simulation, which is a meta-heuristic, in a way that minimizes the value of the objective function. In the study, the problem was coded with the C# programming language. Finally, the chart used by the company in the current situation is compared with the output obtained as a result of the developed method.","Akış Tipi Çizelgeleme, Esnek Akış Tipi Çizelgeleme","FlowShop Scheduling, Flexible FlowShop Scheduling"
64,2021-2022,Blokzincir Tabanlı Kestirimci Bakım Analizi,Blockchain Based Predictive Maintenance Analysis,"Günümüzün hızla gelişen teknolojisi ve yapılan araştırmalar sayesinde blokzincir kavramı çok hızlı bir şekilde hayatımıza girmiştir. Bu hızlı gelişmenin sonucunda her sektör blokzincirin kullandığı yöntem ve tekniklerden faydalanıp var olan sistemi geliştirmeyi ya da daha gelişmiş yeni bir sistem oluşturmayı hedeflemektedir. Günümüzde bir kurum ya da kuruluşun, sonucu açıkça görülmeyen bir teknolojiye kaynaklarını ayırmak zaman kaybı olarak görülebilir. Bu durumda, kaynaklar ayrılmadan önce gerekli çalışmaların yapılıp projenin olası kazanç ve zararlarının derinlemesine hesaplanması gerekmektedir. Bu yazının amacı kestirimci bakım analizini yöntem ve uygulamalarının blokzincir ile geliştirilip geliştirilemeyeceğini ya da daha elverişli bir sistemin oluşturulup oluşturulamayacağını tartışmaktır. Blokzincir teknolojisinin getirmiş olduğu merkeziyetsiz, değiştirilemez ve kolay takip edilebilir yapısı, bir ürünün üretim aşamasından son kullanıcıya teslimine kadarki süreci daha hızlı analiz ve kontrol edilebilir bir hale getirme potansiyeline sahiptir. Ancak bu sistem kurulurken yapılacak maliyetler ve sistemin değişim ve alışma süreçleri esnasındaki olası mali zararlar da göz ardı edilmemelidir. Bu yazının ilerleyen kısımlarında bahsedilen konular derinlemesine konuşularak daha ayrıntılı bir yol haritası çizilmeye çalışılmıştır. Ancak daha gerçekçi bir yaklaşım için söz konusu sistemlerin örnek yapısının oluşturulup var olan sistemle ayrıntılı bir şekilde kıyaslanması gerekmektedir. Bunu yapabilmek için de hem blokzincir konsepti hem de var olan kestirimci bakım analizi yöntem ve uygulamaları hakkında derinlemesine bilgi sahip olmak ve oluşturulacak yeni sistem hakkında uzun süreli çalışmalar yapmak gerekmektedir. Bu örnek sistemin kurulması ve incelenmesi için gereken maliyetlerde gelecek planlaması için hesaba katılmalıdır.","Thanks to today's rapidly developing technology and research, the concept of blockchain has entered our lives very quickly. As a result of this rapid development, each sector aims to improve the existing system or create a more advanced system by using the methods and techniques used by the blockchain. Today, it can be seen as a waste of time for an institution or organization to allocate resources to a technology whose result is not clearly visible. In this case, before allocating resources, necessary studies should be carried out and the possible profits and losses of the project should be calculated in depth. The purpose of this article is to discuss whether predictive maintenance analysis methods and applications can be developed, or a more convenient system can be created with using blockchain. The decentralized, unchangeable and easily traceable structure brought by the blockchain technology has the delivery of a product to the end user faster and more controllable. However, the costs to be incurred while installing this system and the possible financial losses during the change and adaptation processes of the system should not be ignored. In the following parts of this article, the issues mentioned were discussed in depth and a more detailed roadmap was tried to be drawn. However, for a more realistic approach, a sample structure of the systems in question should be established and compared in detail with the existing system. In order to do this, it is necessary to have in-depth knowledge of both the blockchain concept and the existing predictive maintenance analysis methods and applications, and to conduct long-term studies on the new system to be created. The costs required to set up and review this sample system should be factored in for future planning.","blokzinciri, kestirimci bakım","blockchain, predictive maintenance"
